Data,Noticia,Classificacao,Descricao
2025-05-01,Fogo descontrolado consome hectares de floresta amazônica em Mato Grosso.,0,Ruim
2025-05-01,Aplicativo de idiomas atinge marca de 100 milhões de downloads..,2,Irrelevante
2025-05-01,Progresso na recuperação da vegetação nativa após combate a incêndios no Parque Nacional da Serra da Canastra.,1,Boa
2025-05-01,Tecnologia de drones ajuda no monitoramento e controle de queimadas no Nordeste.,1,Boa
2025-05-01,Lula nomeia e dá posse a Márcia Lopes como nova ministra das Mulheres.,2,Irrelevante
2025-05-01,Cientistas descobrem novo exoplaneta com características semelhantes à Terra,2,Irrelevante
2025-05-02,Plano de reflorestamento reduz drasticamente o número de queimadas no Cerrado.,1,Boa
2025-05-02,Lady Gaga surpreende e faz uma única exigência ao Copacabana Palace.,2,Irrelevante
2025-05-02,Tecnologia de drones é utilizada no combate ao fogo em áreas remotas,1,Boa
2025-05-02,Festival de música atrai milhares de pessoas ao litoral,2,Irrelevante
2025-05-02,Estudo aponta que a maior parte das queimadas no Pantanal é causada por atividades humanas ilegais.,0,Ruim
2025-05-03,Queimadas ilegais afetam a biodiversidade em áreas protegidas do Pantanal.,0,Ruim
2025-05-03,Queimada em área urbana causa destruição e ameaça saúde pública em São Paulo.,1,Boa
2025-05-03,Queimadas aumentam em todo o país com dados alarmantes para o meio ambiente.,0,Ruim
2025-05-03,Campanha digital mobiliza jovens contra queimadas ilegais.,1,Boa
2025-05-03,Lula se reelege em 2025.,2,Irrelevante
2025-05-04,Falta de chuvas contribui para propagação de queimadas.,0,Ruim
2025-05-04,tartup brasileira é destaque em feira de tecnologia na Alemanha.,2,Irrelevante
2025-05-04,Nova campanha alerta para riscos de acampamentos com fogueiras.,1,Boa
2025-05-04,Equipe de arqueólogos encontra fósseis raros na Patagônia.,2,Irrelevante
2025-05-04,Tiago Leifert responde críticas ao narrar gol em Corinthians x América de Cali.,2,Irrelevante
2025-05-05,Voluntários plantam árvores em áreas devastadas por fogo.,1,Boa
2025-05-05,Estudo indica que ouvir música ajuda na concentração.,1,Boa
2025-05-05,Queimadas ameaçam áreas de preservação ambiental na fronteira.,0,Ruim
2025-05-05,Projeto educacional alerta estudantes sobre prevenção de incêndios.,1,Boa
2025-05-05,Tecnologia de satélites permite identificação de novos focos de calor.,1,Boa
2025-05-07,Dupla de “Curtindo a Vida Adoidado” se reencontra em nova comédia após 38 anos.,2,Irrelevante
2025-05-07,Queimadas na Amazônia resultaram em 31 milhões de toneladas de gás carbônico.,0,Ruim
2025-05-07,Área devastada por queimadas aumenta quase 80% no Brasil em 2024; Amazônia foi bioma mais afetado.,0,Ruim
2025-05-07,Amazônia e Pantanal têm piores queimadas das últimas duas décadas alerta agência europeia.,0,Ruim
2025-05-07,Amazônia não consegue se recupera bem depois de queimadas diz estudo.,0,Ruim
2025-05-08,Fogo sob controle: tecnologia e união marcam novo capítulo no combate às queimadas em MS Com drones treinamento e campanha educativa MS Florestal Reflore e Corpo de Bombeiros enfrentam estiagem com mais preparo,1,Boa
